temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,time
76.95,76.84,74.25,79.5,1011,53,1011,1007,21-Jul-2025 16:17:22
76.84,76.66,74.25,79.07,1011,52,1011,1007,21-Jul-2025 16:38:15
76.87,76.71,74.66,79.14,1011,52,1011,1007,21-Jul-2025 16:49:04
77.16,76.98,74.98,79.11,1011,51,1011,1007,21-Jul-2025 17:05:04
77.14,77,74.84,79.18,1011,52,1011,1007,21-Jul-2025 17:09:43
77.34,77.13,75,79.18,1011,50,1011,1007,21-Jul-2025 17:25:42
78.24,77.97,75.29,80.15,1011,47,1011,1007,21-Jul-2025 17:47:14
78.26,77.99,75.36,80.15,1011,47,1011,1007,21-Jul-2025 17:52:58
78.24,77.94,75.31,80.15,1011,46,1011,1007,21-Jul-2025 17:56:40
78.22,77.86,75.31,80.15,1012,45,1012,1007,21-Jul-2025 18:13:03
78.39,77.99,75.31,80.1,1012,44,1012,1007,21-Jul-2025 18:25:09
78.33,77.85,75.67,80.53,1011,42,1011,1007,21-Jul-2025 18:48:56
78.4,77.92,75.67,80.53,1011,42,1011,1007,21-Jul-2025 18:56:32
78.4,77.92,75.67,80.53,1011,42,1011,1007,21-Jul-2025 18:56:32
78.24,77.7,75.85,80.53,1012,41,1012,1007,21-Jul-2025 19:17:32
78.62,78.06,75.99,81.09,1011,40,1011,1007,21-Jul-2025 19:35:53
78.62,78.06,75.99,81.09,1011,40,1011,1007,21-Jul-2025 19:34:51
78.58,77.97,75.99,81.09,1011,39,1011,1007,21-Jul-2025 19:53:48
78.4,77.83,75.85,81.07,1011,40,1011,1007,21-Jul-2025 19:57:21
78.31,77.68,76.08,80.51,1012,39,1012,1007,21-Jul-2025 20:17:45
78.4,77.77,75.85,80.53,1012,39,1012,1007,21-Jul-2025 20:33:19
78.26,77.61,75.72,80.53,1012,39,1012,1007,21-Jul-2025 20:43:52
78.42,77.76,75.45,80.53,1012,38,1012,1007,21-Jul-2025 20:56:06
78.42,77.76,75.45,80.53,1012,38,1012,1007,21-Jul-2025 20:56:06
78.03,77.31,75.15,80.1,1012,38,1012,1007,21-Jul-2025 21:10:14
77.86,77.18,75.09,80.1,1012,39,1012,1007,21-Jul-2025 21:22:51
77.45,76.73,74.84,79.5,1012,39,1012,1008,21-Jul-2025 21:34:30
77.4,76.68,74.37,79.52,1012,39,1012,1008,21-Jul-2025 21:45:45
77.34,76.6,74.5,79.5,1013,39,1013,1008,21-Jul-2025 21:51:12
77.16,76.41,74.14,79.21,1013,39,1013,1008,21-Jul-2025 21:56:01
76.59,75.83,74.14,78.53,1013,40,1013,1008,21-Jul-2025 22:14:13
76.44,75.67,73.72,78.3,1013,40,1013,1008,21-Jul-2025 22:24:55
76.1,75.29,73.2,78.1,1013,40,1013,1009,21-Jul-2025 22:39:19
75.54,74.73,73,77.29,1013,41,1013,1009,21-Jul-2025 22:49:57
75.34,74.5,72.5,77.29,1013,41,1013,1009,21-Jul-2025 22:59:30
74.75,73.85,72,76.77,1013,41,1013,1009,21-Jul-2025 23:07:51
74.23,73.33,71.31,75.99,1014,42,1014,1009,21-Jul-2025 23:28:49
73.74,72.79,71.01,75.22,1014,42,1014,1010,21-Jul-2025 23:38:16
73.72,72.77,71.01,75.22,1014,42,1014,1010,21-Jul-2025 23:39:57
73.06,72.14,70,74.41,1014,44,1014,1010,21-Jul-2025 23:50:00
72.21,71.2,69.15,73.42,1014,44,1014,1010,22-Jul-2025 00:16:21
70.65,69.62,67.14,72.09,1015,47,1015,1012,22-Jul-2025 00:43:14
69.49,68.49,65.14,71.1,1015,50,1015,1012,22-Jul-2025 01:16:30
67.53,66.52,63.14,69.46,1016,54,1016,1012,22-Jul-2025 01:59:29
65.17,64.17,60.73,67.08,1017,59,1017,1013,22-Jul-2025 02:41:48
64.38,63.34,59.72,66.09,1016,60,1016,1013,22-Jul-2025 03:16:08
62.83,61.77,58.69,65.08,1017,63,1017,1013,22-Jul-2025 03:44:03
61.92,60.85,57.51,64.09,1017,65,1017,1013,22-Jul-2025 04:17:23
61.39,60.33,57.16,63.36,1018,66,1018,1014,22-Jul-2025 04:35:29
60.76,59.74,56.71,63.09,1018,68,1018,1014,22-Jul-2025 04:53:45
60.75,59.72,56.16,62.94,1017,68,1017,1014,22-Jul-2025 05:06:57
60.1,59.05,55.51,62.17,1017,69,1017,1014,22-Jul-2025 05:17:47
60.17,59.13,55.44,62.1,1018,69,1018,1014,22-Jul-2025 05:36:09
59.9,58.84,55.15,62.1,1018,69,1018,1014,22-Jul-2025 05:47:53
59.34,58.32,55.15,61.14,1018,71,1018,1014,22-Jul-2025 06:01:51
59.29,58.26,54.5,61.14,1018,71,1018,1014,22-Jul-2025 06:10:45
58.98,57.96,54.14,61.11,1018,72,1018,1014,22-Jul-2025 06:30:28
58.69,57.69,53.58,61.07,1018,73,1018,1014,22-Jul-2025 06:46:36
58.37,57.34,53.44,60.24,1018,73,1018,1014,22-Jul-2025 06:55:32
58.03,56.97,53.38,60.24,1018,73,1018,1014,22-Jul-2025 07:11:29
57.97,56.95,53.15,60.12,1018,74,1018,1014,22-Jul-2025 07:25:50
57.83,56.79,53.33,59.95,1018,74,1018,1014,22-Jul-2025 07:42:54
57.76,56.71,52.7,59.95,1018,74,1018,1014,22-Jul-2025 07:40:00
57.36,56.32,52.38,59.95,1018,75,1018,1014,22-Jul-2025 08:02:11
57.27,56.26,52.05,59.16,1018,76,1018,1014,22-Jul-2025 08:15:01
56.86,55.81,51.51,59.11,1019,76,1019,1015,22-Jul-2025 08:35:34
56.86,55.81,51.51,59.11,1019,76,1019,1015,22-Jul-2025 08:36:29
56.75,55.69,51.39,59.11,1019,76,1019,1015,22-Jul-2025 08:47:02
56.37,55.27,51.39,58.98,1019,76,1019,1015,22-Jul-2025 09:11:57
55.83,54.68,51.33,58.1,1019,76,1019,1015,22-Jul-2025 09:30:00
55.9,54.81,51.26,58.06,1019,77,1019,1015,22-Jul-2025 09:45:01
55.8,54.64,51.26,58.06,1019,76,1019,1015,22-Jul-2025 09:46:20
55.8,54.64,51.26,58.06,1019,76,1019,1015,22-Jul-2025 09:54:20
55.54,54.52,50.7,58.1,1019,79,1019,1015,22-Jul-2025 10:08:50
55.54,54.52,51.21,58.1,1019,79,1019,1015,22-Jul-2025 10:22:41
58.41,57.52,54.63,61.07,1020,76,1020,1016,22-Jul-2025 10:47:37
58.37,57.49,53.51,61.45,1020,76,1020,1016,22-Jul-2025 10:56:52
59.11,58.3,55.02,62.11,1020,76,1020,1016,22-Jul-2025 11:05:46
58.93,58.1,55.02,61.99,1020,76,1020,1016,22-Jul-2025 11:10:00
59.83,58.98,55.78,62.1,1020,74,1020,1016,22-Jul-2025 11:29:43
62.24,61.32,58.23,64.94,1020,67,1020,1016,22-Jul-2025 11:38:30
62.24,61.32,58.23,64.94,1020,67,1020,1016,22-Jul-2025 11:38:30
62.6,61.75,59.5,65.07,1020,68,1020,1016,22-Jul-2025 11:47:02
63.9,63.09,60.17,66.15,1021,66,1021,1016,22-Jul-2025 12:08:52
63.9,63.09,60.17,66.15,1021,66,1021,1016,22-Jul-2025 12:07:58
66.69,65.88,62.85,69.39,1020,60,1020,1016,22-Jul-2025 12:36:03
67.42,66.63,63.72,70.14,1020,59,1020,1016,22-Jul-2025 12:52:21
67.98,67.21,64.99,70.45,1021,58,1021,1016,22-Jul-2025 13:15:30
69.82,68.99,66.97,72.34,1020,53,1020,1016,22-Jul-2025 13:41:19
70.57,69.73,67.35,73.53,1020,51,1020,1016,22-Jul-2025 13:56:40
71.01,70.16,68,73.51,1021,50,1021,1016,22-Jul-2025 14:08:18
71.37,70.5,68.23,74.19,1021,49,1021,1016,22-Jul-2025 14:22:12
71.51,70.66,68.36,74.19,1021,49,1021,1016,22-Jul-2025 14:28:30
72.1,71.28,69.1,74.5,1020,48,1020,1016,22-Jul-2025 14:40:51
72.61,71.78,69.22,75.15,1020,47,1020,1016,22-Jul-2025 14:53:01
72.84,72.03,70.05,75.52,1021,47,1021,1016,22-Jul-2025 15:08:09
73.24,72.46,70.21,75.94,1021,47,1021,1016,22-Jul-2025 15:20:00
73.85,73.09,71.37,76.32,1020,46,1020,1015,22-Jul-2025 15:35:26
74.05,73.31,71.1,77.11,1020,46,1020,1015,22-Jul-2025 15:55:23
74.44,73.71,71.22,77.52,1020,45,1020,1015,22-Jul-2025 16:00:33
74.93,74.19,72.14,77.5,1020,44,1020,1015,22-Jul-2025 16:17:01
75.76,75,72.66,78.33,1020,42,1020,1015,22-Jul-2025 16:32:57
75.78,75.07,73.24,78.33,1019,43,1019,1015,22-Jul-2025 16:46:57
